Campaign ID,Name,Status,Lead Count
cam_DhG3nJcZRmN7iPTre,(INTENTSIGNAL) NILS_DE_Network_Outreach,running,1
cam_xJYxjrC63rhDpJSHt,(new) 4.1_2ND:Mid-Big companies_DE_08/25,running,32
cam_mXfJHNoRfYX4xdHsE,(new) 4.2_3RD:High_Followers_DE_08/25,running,1079
cam_gPcEtQgbnkSzKr282,6.0_Small_Beauty_DE_08/25,running,100
cam_y7Xc7sPTL4bn7Q46K,5.1_NON-DACH_Knuspr_EN_08/25,running,741
cam_x3aJntgSYxCW9xdRD,5.0_DACH_Knuspr_DE_08/25,running,636
cam_DBgnFMvKrGsfXQRZH,(.io) 4.0_1ST:Small-Companies_DE_08/25,running,148
cam_aGRD8hGtYH3jojXen,(.io) 4.2_3RD:High_Followers_DE_08/25,running,1187
cam_W4QMAWBruR2eufTRN,(.io) 4.1_2ND:Mid-Big companies_DE_08/25,running,196
cam_285na27K552NCxY4N,Nils-DE_03/25_SS_Sales_Alnatura_ 2.0,running,30
cam_PCzn8GEjeyRep5RTC,Nils-DE_03/25_SS_KAM_Alnatura_ 2.0,running,21
